#CODE GEOPOST;pltri;service mark;FAMILLE GEO ;service text;description produit;PRODUIT CHRONOPOST;NAT OU INTER;parstictise jour;CDB13 O N;PRECOCE;MULTICOLIS fr;instance poste;SAC o OU n;SUFFIXE;CODE fact;libel25;CODE EXP;SERVICE ELEMENT2;libelle fa;ON;;
#;;;;;;;;;;;;;;;;;;;;;;
878;LU12;.;22;AM2-HAZ-CS-NO...;MED 3 LUNDI 13H....;S;N;VE;N;N;O;N;N;FR;8G;MED LU13...;174;;SANTE 3 13....;P;313;
826;18H.;.;10;PM2-HAZ-CS-NO...;MED 3 18H..........;S;N;SE;N;N;O;N;N;JB;8H;HAZ 18H....;87;;SANTE 3 18....;P;321;
826;LU18;.;10;PM2-HAZ-CS-NO...;MED 3 LUNDI 18H....;S;N;VE;N;N;O;N;N;JB;8H;HAZ LU18...;187;;SANTE 3 18....;O;323;
879;12H.;.;22;AM2-HAZ-CS-NO...;MED FRI 13H........;S;N;SE;N;N;O;N;N;FR;8I;MED FRI 13H;75;;SANTE 4 13..;P;351;
881;SA12;.;22;AM2-HAZ-6-CS-NO.;MED FRI SA 13H.....;S;N;VE;N;N;O;N;N;FR;8I;ME FRI SA13;675;;SANTE 4 13..;P;352;
879;12H.;.;22;AM2-HAZ-CS-NO...;MED FRI 13H........;S;N;SE;N;N;O;N;N;FR;8I;MED FRI 13H;75;;SANTE 4 13..;P;361;
881;SA12;.;22;AM2-HAZ-6-CS-NO.;MED FRI SA 13H.....;S;N;VE;N;N;O;N;N;FR;8I;ME FRI SA13;675;;SANTE 4 13..;P;362;
827;18H.;.;10;PM2-HAZ-CS-NO...;MED FRI 18H........;S;N;SE;N;N;O;N;N;JB;8J;MED FRI 18H;89;;SANTE 4 18..;P;371;
880;SA18;.;10;PM2-HAZ-6-CS-NO.;MED FRI SA 18H.....;S;N;SE;N;N;O;N;N;JB;8J;ME FRI SA18;689;;SANTE 4 18..;P;372;
868;12H.;R;22;AM2-SHOP-NO.....;SENSIBLE PR........;S;N;SE;N;N;O;0;N;FR;50;SEC 13H REL;50;;SECU 13 REL;P;999;
869;SA12;R;22;AM2-6-SHOP-NO...;SENSIBLE SA PR.....;S;N;VE;N;N;O;N;N;FR;50;SEC SA1 REL;650;;SECU SA13 REL;O;999;
868;LU12;R;22;AM2-SHOP-NO.....;SENSIBLE LU PR.....;S;N;VE;N;N;O;N;N;FR;50;SEC LU1 REL;150;;SECU LU13 REL;O;999;
870;12H.;.;22;AM2-NO..........;SENSIBLE 13H.......;S;N;SE;N;N;O;0;N;FR;51;SECU 13H...;51;;SECU 13....;P;999;
871;SA12;.;22;AM2-6-NO........;SENSIBLE SA 13H....;S;N;VE;N;N;O;N;N;FR;51;SECU SA13..;651;;SECU SA13..;O;999;
870;LU12;.;22;AM2-NO..........;SENSIBLE LU 13H....;S;N;VE;N;N;O;N;N;FR;f51;SECU LU13.;151;;SECU LU13..;O;999;
872;18H.;.;10;PM2-NO..........;SENSIBLE 18H.......;S;N;SE;N;N;O;0;N;JB;53;SECU 18H...;53;;SECU 18....;P;999;
873;SA18;.;10;PM2-6-NO........;SENSIBLE SA 18H....;S;N;VE;N;N;O;N;N;JB;53;SECU SA18..;653;;SECU SA18..;O;999;
872;LU18;.;10;PM2-NO..........;SENSIBLE LU 18H....;S;N;VE;N;N;O;N;N;JB;53;SECU LU18..;153;;SECU LU18..;O;999;
874;S9..;.;21;AM1-NO..........;PERISSABLE 10H.....;S;N;SE;N;O;O;N;N;EE;1K;PERI 10H...;18;;PERISSABLE ...;P;421;
875;SAS9;.;21;AM1-6-NO........;PERISSABLE SA10....;S;N;VE;N;O;O;N;N;EE;1K;PERI SA10..;618;;PERISSABLE SA.;O;422;
874;LUS9;.;21;AM1-NO..........;PERISSABLE LU10....;S;N;VE;N;O;O;N;N;EE;1K;PERI LU10..;118;;PERISSABLE LU.;O;423;
820;12H.;.;22;AM2-NO..........;PERISSABLE 13H.....;S;N;SE;N;N;O;N;N;FR;78;PERI 13H...;78;;PERISSABLE ...;P;431;
821;SA12;.;22;AM2-6-NO........;PERISSABLE SA13....;S;N;VE;N;N;O;N;N;FR;78;PERI SA13..;678;;PERISSABLE SA.;O;432;
820;LU12;.;22;AM2-NO..........;PERISSABLE LU13....;S;N;VE;N;N;O;N;N;FR;78;PERI LU13..;178;;PERISSABLE LU.;O;433;
862;18H.;.;10;PM2-NO..........;FTT 18H IP INTERDIT;S;N;SE;O;N;O;N;N;JB;1L;18H........;30;;CHRONO 18 NO..;P;999;
863;SA18;.;10;PM2-6-NO........;FTT 18H IP INTERDIT;S;N;VE;O;N;O;N;N;JB;1L;SA18.......;630;;CHRONO 18 NO..;O;999;
862;LU18;.;10;PM2-NO..........;FTT 18H IP INTERDIT;S;N;VE;O;N;O;N;N;JB;1L;LU18.......;130;;CHRONO 18 NO..;O;999;
864;12H.;.;22;AM2-HAZ-NO......;Chrono 13 dangereux;S;N;SE;N;N;O;N;N;FR;1M;HAZ 13H....;32;;DANGEREUX 13..;P;376;
865;SA12;.;22;AM2-HAZ-6-NO....;Chrono 13 dangereux;S;N;VE;N;N;O;N;N;FR;1M;HAZ SA13...;632;;DANGEREUX 13..;O;377;
864;LU12;.;22;AM2-HAZ-NO......;Chrono 13 dangereux;S;N;VE;N;N;O;N;N;FR;1M;HAZ LU13...;132;;DANGEREUX 13..;O;378;
864;12H.;.;22;AM2-HAZ-NO......;Chrono 13 dangereux;S;N;SE;N;N;O;N;N;FR;1M;HAZ 13H....;32;;DANGEREUX 13..;P;386;
865;SA12;.;22;AM2-HAZ-6-NO....;Chrono 13 dangereux;S;N;VE;N;N;O;N;N;FR;1M;HAZ SA13...;632;;DANGEREUX 13..;O;387;
864;LU12;.;22;AM2-HAZ-NO......;Chrono 13 dangereux;S;N;VE;N;N;O;N;N;FR;1M;HAZ LU13...;132;;DANGEREUX 13..;O;388;
866;18H.;.;10;PM2-HAZ-NO......;Chrono 18 dangereux;S;N;SE;N;N;O;N;N;JB;1N;HAZ 18H....;34;;DANGEREUX 18..;P;396;
867;SA18;.;10;PM2-HAZ-6-NO....;Chrono 18 dangereux;S;N;VE;N;N;O;N;N;JB;1N;HAZ SA18...;634;;DANGEREUX 18..;O;397;
866;LU18;.;10;PM2-HAZ-NO......;Chrono 18 dangereux;S;N;VE;N;N;O;N;N;JB;1N;HAZ LU18...;134;;DANGEREUX 18..;O;398;
809;R12.;.;22;AM2-ROAD........;CLASSIC ROAD.......;S;N;SE;O;N;O;O;N;FR;1W;R13........;70;;CLASSIC ROAD.;P;411;
810;SAR.;.;22;AM2-6-ROAD......;CLASSIC ROAD SAM...;S;N;VE;O;N;O;O;N;FR;1W;SAR........;670;;CLASSIC ROAD.;O;412;
809;LUR.;.;22;AM2-ROAD........;CLASSIC ROAD LUN...;S;N;VE;O;N;O;O;N;FR;1W;LUR........;170;;CLASSIC ROAD.;O;413;
180;S9..;.;21;AM1-NO..........;PREMIUM NO.........;S;N;SE;O;O;O;N;N;EE;1U;10H........;61;;.............;P;801;
183;SAS9;.;21;AM1-6-NO........;PREMIUM SAMEDI NO..;S;N;VE;O;O;O;N;N;EE;1U;SA10.......;661;;.............;O;802;
180;LUS9;.;21;AM1-NO..........;PREMIUM LUNDI NO...;S;N;VE;O;O;O;N;N;EE;1U;LU10.......;161;;.............;O;803;
225;12H.;.;22;AM2-NO..........;CLASSIC NO.........;S;N;SE;O;N;O;N;N;FR;60;13H........;60;;.............;P;999;
228;SA12;.;22;AM2-6-NO........;CLASSIC SAMEDI NO..;S;N;VE;O;N;O;N;N;FR;60;SA13.......;660;;.............;O;999;
225;LU12;.;22;AM2-NO..........;CLASSIC LUNDI NO...;S;N;VE;O;N;O;N;N;FR;60;LU13.......;160;;.............;O;999;
898;12H.;.;22;AM2-NO..........;CLASSIC NO.........;S;N;SE;O;N;O;N;N;FR;1S;13H........;60;;.............;P;811;
896;SA12;.;22;AM2-6-NO........;CLASSIC SAMEDI NO..;S;N;VE;O;N;O;N;N;FR;1S;SA13.......;660;;.............;O;812;
898;LU12;.;22;AM2-NO..........;CLASSIC LUNDI NO...;S;N;VE;O;N;O;N;N;FR;1S;LU13.......;160;;.............;O;813;
835;18H.;.;10;PM2-NO..........;COMFORT NPO........;S;N;SE;O;N;O;N;N;JB;1V;18H........;62;;.............;P;821;
834;SA18;.;10;PM2-6-NO........;COMFORT SAMEDI NO..;S;N;VE;O;N;O;N;N;JB;1V;SA18.......;662;;.............;O;822;
835;LU18;.;10;PM2-NO..........;COMFORT LUNDI NO...;S;N;VE;O;N;O;N;N;JB;1V;LU18.......;162;;.............;O;823;
835;18H.;.;10;PM2-NO..........;RETOUR CRESA PAYANT;S;S;SE;O;N;O;N;N;JB;2C;18H........;62;;RETOUR CRESA.;P;999;
811;12H.;.;22;AM2-PDP-NO......;PAS DE PORTE CLA...;S;N;SE;N;N;O;N;N;FR;1F;13H........;7;;.............;P;861;
812;SA12;.;22;AM2-6-PDP-NO....;PDP CLASSIC SAM....;S;N;VE;N;N;O;N;N;FR;1F;SA13.......;607;;.............;O;862;
811;LU12;.;22;AM2-PDP-NO......;PDP CLASSIC LUN....;S;N;VE;N;N;O;N;N;FR;1F;LU13.......;107;;.............;O;863;
823;18H.;.;10;PM2-PDP-NO......;PDP COMFORT COM....;S;N;SE;N;N;O;N;N;JB;1G;18H........;8;;.............;P;871;
824;SA18;.;10;PM2-PDP-6-NO....;PDP COMFORT SAM....;S;N;VE;N;N;O;N;N;JB;1G;SA18.......;608;;.............;O;872;
823;LU18;.;10;PM2-PDP-NO......;PDP COMFORT LUN....;S;N;VE;N;N;O;N;N;JB;1G;LU18.......;108;;.............;O;873;
406;12H.;.;22;AM2-BAL.........;CLASSIC BAL........;S;N;SE;O;N;O;O;N;FR;58;13H........;58;;.............;O;9900;A13
407;SA12;.;22;AM2-6-BAL.......;CLASSIC BAL SAMEDI.;S;N;VE;O;N;O;O;N;FR;58;SA13.......;658;;.............;O;9902;A13
406;LU12;.;22;AM2-BAL.........;CLASSIC BAL........;S;N;VE;O;N;O;O;N;FR;58;LU13.......;158;;.............;O;9901;A13
813;12H.;.;22;AM2-BAL.........;CLASSIC BAL........;S;N;SE;O;N;O;O;N;FR;58;13H........;58;;.............;O;900;
814;SA12;.;22;AM2-6-BAL.......;CLASSIC BAL SAMEDI.;S;N;VE;O;N;O;O;N;FR;58;SA13.......;658;;.............;O;901;
813;LU12;.;22;AM2-BAL.........;CLASSIC BAL........;S;N;VE;O;N;O;O;N;FR;58;LU13.......;158;;.............;O;902;
404;S9..;.;21;AM1-BAL.........;10 H BAL...........;S;N;SE;O;O;O;O;N;EE;3D;10H........;58;;.............;O;9999;A13
405;SAS9;.;21;AM1-6-BAL.......;10 H BAL SAMEDI....;S;N;VE;O;O;O;O;N;EE;3D;SA10.......;658;;.............;O;9999;A13
404;LUS9;.;21;AM1-BAL.........;10 H BAL LUNDI.....;S;N;VE;O;O;O;O;N;EE;3D;LU10.......;158;;.............;O;9999;A13
953;S9..;.;21;AM1-BAL.........;10 H BAL...........;S;N;SE;O;O;O;O;N;EE;3D;10H........;58;;.............;O;999;
954;SAS9;.;21;AM1-6-BAL.......;10 H BAL SAMEDI....;S;N;VE;O;O;O;O;N;EE;3D;SA10.......;658;;.............;O;999;
953;LUS9;.;21;AM1-BAL.........;10 H BAL LUNDI.....;S;N;VE;O;O;O;O;N;EE;3D;LU10.......;158;;.............;O;999;
403;18H.;.;10;PM2-BAL.........;COMFORT BAL........;S;N;SE;O;N;O;O;N;JB;2L;18H........;58;;.............;O;9906;A13
925;SA18;.;10;PM2-6-BAL.......;COMFORT BAL SAMEDI.;S;N;VE;O;N;O;O;N;JB;2L;SA18.......;658;;.............;O;9907;
403;LU18;.;10;PM2-BAL.........;COMFORT BAL........;S;N;VE;O;N;O;O;N;JB;2L;LU18.......;158;;.............;O;9908;A13
924;18H.;.;10;PM2-BAL.........;COMFORT BAL........;S;N;SE;O;N;O;O;N;JB;2L;18H........;58;;.............;O;906;
